https://heasarc.gsfc.nasa.gov/W3Browse/planck/planckgcc.html
Results from heasarc_planckgcc: Planck Catalog of Galactic Cold Clumps (PGCC)
Coordinate system: Equatorial
|name              |ra         |dec        |temperature|temperature_error|mass        |mass_error  |size      |size_error|
|PGCC G303.03-16.68|12 53 26.78|-79 32 53.8|  12.414000|         1.605000|6.228060e+00|3.032100e+00|  0.410821|  0.041273|
|PGCC G299.80-17.06|11 44 35.50|-79 31 03.5|           |                 |            |            |          |          |
|PGCC G291.75-30.97|05 14 53.22|-79 30 17.1|           |                 |            |            |          |          |
|PGCC G314.74-27.87|19 18 26.21|-79 30 07.9|  14.260000|         1.894000|            |            |          |          |
|PGCC G314.73-28.44|19 31 05.74|-79 29 12.5|  15.759000|         2.423000|            |            |          |          |
|PGCC G314.78-27.68|19 14 19.28|-79 28 15.9|           |                 |            |            |          |          |
|PGCC G279.87+0.93 |10 03 08.82|-54 13 26.0|           |                 |            |            |          |          |
|PGCC G301.85-16.65|12 28 37.94|-79 28 07.1|  10.899000|         1.449000|2.779300e+00|1.466400e+00|  0.294059|  0.034024|
|PGCC G294.67-19.79|09 40 57.89|-79 27 32.2|           |                 |            |            |          |          |
|PGCC G314.82-27.57|19 11 49.89|-79 25 55.1|  15.673000|         1.693000|            |            |          |          |
|PGCC G300.00-16.91|11 49 35.44|-79 25 47.8|  21.868999|         6.225000|6.336890e-02|4.569210e-02|  0.400659|  0.039297|
|PGCC G300.25-16.85|11 54 53.10|-79 25 25.6|           |                 |1.200660e+00|9.533810e-01|  0.429437|  0.038721|
|PGCC G302.94-16.50|12 51 41.35|-79 22 34.1|  12.098000|         2.181000|2.747270e+00|1.753070e+00|  0.323074|  0.032589|
|PGCC G314.89-27.91|19 19 20.65|-79 22 13.2|           |                 |            |            |          |          |
|PGCC G301.68-16.53|12 25 20.80|-79 20 26.8|  10.716000|         0.750000|4.244680e+00|1.403180e+00|  0.272122|  0.024607|
|PGCC G294.66-19.63|09 43 03.67|-79 20 10.6|  15.968000|         2.557000|            |            |          |          |
|PGCC G314.88-28.66|19 35 30.82|-79 19 54.6|           |                 |            |            |          |          |
|PGCC G314.87-28.83|19 39 07.90|-79 19 34.0|           |                 |            |            |          |          |
|PGCC G315.14-29.36|19 49 40.37|-79 01 34.0|  14.925000|         2.126000|            |            |          |          |
|PGCC G301.20-16.56|12 15 34.23|-79 18 25.0|  10.963000|         0.843000|4.319840e+00|1.488880e+00|  0.298210|  0.027051|
|PGCC G302.70-16.41|12 46 41.59|-79 17 01.4|  13.451000|         1.856000|1.278340e+00|6.314380e-01|  0.337804|  0.033458|
|PGCC G313.65-22.56|17 20 09.68|-79 15 30.4|  12.766000|         1.740000|            |            |          |          |
|PGCC G302.49-16.38|12 42 15.90|-79 14 42.0|  12.118000|         0.844000|2.290920e+00|7.072410e-01|  0.319223|  0.028711|
|PGCC G303.16-16.33|12 56 03.07|-79 12 16.3|           |                 |            |            |          |          |
|PGCC G315.06-28.95|19 41 25.83|-79 08 59.5|  12.848000|         0.892000|            |            |          |          |
|PGCC G314.96-29.63|19 56 01.48|-79 08 03.0|           |                 |            |            |          |          |
|PGCC G303.33-16.25|12 59 33.12|-79 06 38.4|  13.800000|         1.855000|4.850590e-01|2.241510e-01|  0.266429|  0.027272|
|PGCC G303.14-16.23|12 55 34.95|-79 05 57.5|  11.001000|         1.980000|3.007490e+00|1.972750e+00|  0.303219|  0.028203|
|PGCC G301.14-16.35|12 15 02.73|-79 05 31.5|  13.369000|         2.134000|7.444970e-01|4.115220e-01|  0.314893|  0.029914|
|PGCC G311.36-19.42|15 58 51.71|-79 05 04.5|  16.165001|         1.841000|            |            |          |          |
|PGCC G301.39-16.22|12 20 15.34|-78 59 49.6|  13.737000|         1.900000|5.246150e-01|2.499130e-01|  0.310576|  0.029423|
